Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01/05/2025,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,03/08/2025,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2025,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,1/27/2025,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,02/08/2025,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2025,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2025,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2025,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8.0
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,01/10/2025,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2025,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02/06/2025,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,03/09/2025,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,02/12/2025,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,02/07/2025,4:48:00 PM,Ewallet,431.9,4.761904762,21.595,8.2
