Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,DateTime
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,05/01/2025,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,05/01/2025 13:08
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,08/03/2025,10:29:00,Cash,76.4,4.761904762,3.82,9.6,08/03/2025 10:29
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2025,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4,03/03/2025 13:23
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,27/01/2025,20:33:00,Ewallet,465.76,4.761904762,23.288,8.4,27/01/2025 20:33
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,08/02/2025,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,08/02/2025 10:37
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,25/03/2025,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,25/03/2025 18:30
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,25/02/2025,14:36:00,Ewallet,413.04,4.761904762,20.652,5.8,25/02/2025 14:36
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,24/02/2025,11:38:00,Ewallet,735.6,4.761904762,36.78,8,24/02/2025 11:38
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,10/01/2025,17:15:00,Credit card,72.52,4.761904762,3.626,7.2,10/01/2025 17:15
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,20/02/2025,13:27:00,Credit card,164.52,4.761904762,8.226,5.9,20/02/2025 13:27
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,06/02/2025,18:07:00,Ewallet,57.92,4.761904762,2.896,4.5,06/02/2025 18:07
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,09/03/2025,17:03:00,Cash,102.04,4.761904762,5.102,6.8,09/03/2025 17:03
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,12/02/2025,10:25:00,Ewallet,234.75,4.761904762,11.7375,7.1,12/02/2025 10:25
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.595,453.495,07/02/2025,16:48:00,Ewallet,431.9,4.761904762,21.595,8.2,07/02/2025 16:48
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,29/03/2025,19:21:00,Cash,713.8,4.761904762,35.69,5.7,29/03/2025 19:21
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,15/01/2025,16:19:00,Cash,562.32,4.761904762,28.116,4.5,15/01/2025 16:19
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,11/03/2025,11:03:00,Credit card,482.51,4.761904762,24.1255,4.6,11/03/2025 11:03
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.783,457.443,01/01/2025,10:39:00,Credit card,435.66,4.761904762,21.783,6.9,01/01/2025 10:39
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,21/01/2025,18:00:00,Credit card,164.01,4.761904762,8.2005,8.6,21/01/2025 18:00
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,11/03/2025,15:30:00,Ewallet,80.6,4.761904762,4.03,4.4,11/03/2025 15:30
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,25/02/2025,11:24:00,Ewallet,430.2,4.761904762,21.51,4.8,25/02/2025 11:24
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.197,277.137,05/03/2025,10:40:00,Ewallet,263.94,4.761904762,13.197,5.1,05/03/2025 10:40
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.2,2,3.32,69.72,15/03/2025,12:20:00,Credit card,66.4,4.761904762,3.32,4.4,15/03/2025 12:20
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,17/02/2025,11:15:00,Ewallet,172.8,4.761904762,8.64,9.9,17/02/2025 11:15
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,02/03/2025,17:36:00,Ewallet,265.89,4.761904762,13.2945,6,02/03/2025 17:36
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,22/03/2025,19:20:00,Credit card,420.72,4.761904762,21.036,8.5,22/03/2025 19:20
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.676,35.196,08/02/2025,15:31:00,Cash,33.52,4.761904762,1.676,6.7,08/02/2025 15:31
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.767,184.107,10/03/2025,12:17:00,Credit card,175.34,4.761904762,8.767,7.7,10/03/2025 12:17
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,25/01/2025,19:48:00,Cash,441.8,4.761904762,22.09,9.6,25/01/2025 19:48
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.2005,235.2105,15/03/2025,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,15/03/2025 15:36
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.5325,494.1825,25/02/2025,19:39:00,Credit card,470.65,4.761904762,23.5325,4.8,25/02/2025 19:39
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,28/01/2025,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,28/01/2025 12:43
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,10/01/2025,14:49:00,Cash,670.24,4.761904762,33.512,5.1,10/01/2025 14:49
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.658,202.818,15/03/2025,10:12:00,Credit card,193.16,4.761904762,9.658,5.1,15/03/2025 10:12
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,06/02/2025,10:42:00,Ewallet,397.68,4.761904762,19.884,7.5,06/02/2025 10:42
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,07/01/2025,12:28:00,Ewallet,68.12,4.761904762,3.406,6.8,07/01/2025 12:28
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.655,328.755,10/03/2025,19:15:00,Ewallet,313.1,4.761904762,15.655,7,10/03/2025 19:15
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,15/01/2025,17:17:00,Ewallet,547.92,4.761904762,27.396,4.7,15/01/2025 17:17
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.968,461.328,23/03/2025,13:24:00,Ewallet,439.36,4.761904762,21.968,7.6,23/03/2025 13:24
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.048,253.008,03/03/2025,13:01:00,Cash,240.96,4.761904762,12.048,7.7,03/03/2025 13:01
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,17/01/2025,18:45:00,Ewallet,86.72,4.761904762,4.336,7.9,17/01/2025 18:45
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.611,117.831,02/02/2025,10:11:00,Cash,112.22,4.761904762,5.611,6.3,02/02/2025 10:11
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,08/02/2025,13:03:00,Cash,414.72,4.761904762,20.736,5.6,08/02/2025 13:03
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,04/03/2025,20:39:00,Cash,789.6,4.761904762,39.48,7.6,04/03/2025 20:39
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.537,32.277,16/03/2025,19:47:00,Cash,30.74,4.761904762,1.537,7.2,16/03/2025 19:47
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,09/03/2025,18:00:00,Cash,375.84,4.761904762,18.792,9.5,09/03/2025 18:00
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,27/02/2025,17:24:00,Credit card,510.21,4.761904762,25.5105,8.4,27/02/2025 17:24
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,06/02/2025,15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1,06/02/2025 15:47
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.679,119.259,10/02/2025,12:45:00,Credit card,113.58,4.761904762,5.679,8.1,10/02/2025 12:45
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,19/03/2025,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9,19/03/2025 17:08
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,03/02/2025,08:19:00,Cash,639.8,4.761904762,31.99,9.5,03/02/2025 08:19
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,10/02/2025,15:10:00,Cash,222.95,4.761904762,11.1475,8.5,10/02/2025 15:10
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,22/03/2025,14:42:00,Ewallet,71.48,4.761904762,3.574,6.5,22/03/2025 14:42
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.7715,16.2015,25/01/2025,15:46:00,Credit card,15.43,4.761904762,0.7715,6.1,25/01/2025 15:46
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.616,33.936,07/03/2025,11:49:00,Ewallet,32.32,4.761904762,1.616,6.5,07/03/2025 11:49
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,28/02/2025,19:01:00,Cash,687.84,4.761904762,34.392,8.2,28/02/2025 19:01
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.434,93.114,27/03/2025,11:26:00,Cash,88.68,4.761904762,4.434,5.8,27/03/2025 11:26
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,07/02/2025,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6,07/02/2025 11:28
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,20/01/2025,15:55:00,Cash,723.5,4.761904762,36.175,5.4,20/01/2025 15:55
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.183,192.843,12/03/2025,20:36:00,Cash,183.66,4.761904762,9.183,9.3,12/03/2025 20:36
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,15/02/2025,17:47:00,Credit card,74.22,4.761904762,3.711,10,15/02/2025 17:47
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.719,351.099,24/02/2025,10:55:00,Ewallet,334.38,4.761904762,16.719,7,24/02/2025 10:55
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,03/02/2025,13:40:00,Ewallet,495.63,4.761904762,24.7815,10,03/02/2025 13:40
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.905,166.005,06/03/2025,12:27:00,Credit card,158.1,4.761904762,7.905,8.6,06/03/2025 12:27
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.148,318.108,14/02/2025,14:35:00,Cash,302.96,4.761904762,15.148,7.6,14/02/2025 14:35
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.935,166.635,13/03/2025,16:40:00,Cash,158.7,4.761904762,7.935,5.8,13/03/2025 16:40
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.347,70.287,10/02/2025,15:43:00,Ewallet,66.94,4.761904762,3.347,6.7,10/02/2025 15:43
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,07/01/2025,15:01:00,Ewallet,585.66,4.761904762,29.283,9.9,07/01/2025 15:01
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,24/01/2025,10:04:00,Cash,787.7,4.761904762,39.385,6.4,24/01/2025 10:04
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02/02/2025,18:50:00,Cash,18.33,4.761904762,0.9165,4.3,02/02/2025 18:50
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,06/01/2025,12:46:00,Credit card,894.8,4.761904762,44.74,9.6,06/01/2025 12:46
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,11/02/2025,16:19:00,Cash,621.2,4.761904762,31.06,5.9,11/02/2025 16:19
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.773,478.233,09/03/2025,18:21:00,Cash,455.46,4.761904762,22.773,8.7,09/03/2025 18:21
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,22/01/2025,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,22/01/2025 10:55
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.825,437.325,13/01/2025,17:04:00,Credit card,416.5,4.761904762,20.825,5.4,13/01/2025 17:04
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.068,463.428,09/01/2025,14:20:00,Credit card,441.36,4.761904762,22.068,8.6,09/01/2025 14:20
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,12/01/2025,15:48:00,Credit card,180.09,4.761904762,9.0045,5.7,12/01/2025 15:48
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,05/03/2025,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6,05/03/2025 16:24
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.095,106.995,22/01/2025,18:56:00,Cash,101.9,4.761904762,5.095,6,22/01/2025 18:56
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.757,624.897,21/01/2025,14:42:00,Credit card,595.14,4.761904762,29.757,5.5,21/01/2025 14:42
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.502,304.542,26/01/2025,19:56:00,Ewallet,290.04,4.761904762,14.502,6.4,26/01/2025 19:56
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,7.7,161.7,23/01/2025,18:37:00,Ewallet,154,4.761904762,7.7,6.6,23/01/2025 18:37
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,23/02/2025,18:45:00,Credit card,321.44,4.761904762,16.072,8.3,23/02/2025 18:45
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,12.2275,256.7775,09/03/2025,10:17:00,Cash,244.55,4.761904762,12.2275,6.6,09/03/2025 10:17
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.071,610.491,05/03/2025,14:31:00,Ewallet,581.42,4.761904762,29.071,4,05/03/2025 14:31
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,25/03/2025,10:23:00,Cash,382.6,4.761904762,19.13,9.9,25/03/2025 10:23
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.283,362.943,27/03/2025,20:35:00,Credit card,345.66,4.761904762,17.283,7.3,27/03/2025 20:35
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.1235,44.5935,02/01/2025,16:57:00,Cash,42.47,4.761904762,2.1235,5.7,02/01/2025 16:57
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,23.097,485.037,27/02/2025,17:55:00,Cash,461.94,4.761904762,23.097,6.1,27/02/2025 17:55
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,23/01/2025,10:25:00,Cash,189.52,4.761904762,9.476,7.1,23/01/2025 10:25
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,26/01/2025,19:54:00,Ewallet,448.6,4.761904762,22.43,8.2,26/01/2025 19:54
